Périmètre;Nature;Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Ech. comm. Angleterre;Ech. comm. Espagne;Ech. comm. Italie;Ech. comm. Suisse;Ech. comm. Allemagne-Belgique;Fioul - TAC;Fioul - Cogén.;Fioul - Autres;Gaz - TAC;Gaz - Cogén.;Gaz - CCG;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz; Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;Consommation corrigée
France;Données temps réel;07/01/2023;00:00;52379;53300;52600;200;40;2524;42569;7355;0;5439;-891;694;-5551;28;181;3006;-3411;-3700;-1037;0;22;180;0;2106;420;0;4918;520;1;138;305;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;00:15;52175;52550;51750;200;38;2552;42212;7314;0;5197;-904;700;-5134;28;;;;;;0;22;180;0;2110;443;0;4724;413;60;138;305;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;00:30;50669;51800;50900;200;38;2526;41163;7353;0;5276;-903;697;-5681;29;181;3006;-3411;-3700;-1137;0;22;180;0;2111;416;0;4686;478;112;134;305;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;00:45;49173;50750;50050;204;39;2635;40794;7339;0;5248;-2401;687;-5372;31;;;;;;2;22;180;0;2070;566;0;4611;507;130;128;302;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;01:00;49032;49700;49200;204;38;2598;40575;7409;0;5249;-2400;691;-5332;30;689;2858;-3411;-3700;-1766;2;22;180;0;2073;526;0;4610;529;110;131;303;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;01:15;49222;49900;49300;204;39;2706;40727;7449;0;5079;-2879;691;-4794;31;;;;;;2;22;180;0;2070;637;0;4508;455;116;133;301;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;01:30;48827;50100;49400;204;39;2647;40349;7525;0;5029;-2875;692;-4783;31;689;2858;-3411;-3700;-1766;2;22;180;0;2072;576;0;4491;447;91;135;300;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;01:45;49024;50150;49450;204;39;2626;40302;7618;0;4939;-2859;692;-4537;31;;;;;;2;22;180;0;2070;557;0;4401;446;92;131;303;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;02:00;48573;50200;49500;204;39;2640;40493;7682;0;4952;-2856;688;-5269;31;539;2683;-3411;-3700;-1046;2;22;180;0;2071;570;0;4423;450;79;129;302;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;02:15;48984;49500;48900;204;40;2644;40370;7866;0;4682;-3018;692;-4496;31;;;;;;2;22;180;0;2072;574;0;4268;413;1;133;301;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;02:30;48075;48800;48300;204;40;2591;40227;7973;0;4696;-3033;691;-5314;31;539;2683;-3411;-3700;-1052;2;22;180;0;2073;519;0;4271;423;2;134;300;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;02:45;47368;47950;47500;203;40;2617;39312;8090;0;4467;-3019;686;-5028;32;;;;;;1;22;180;0;2073;545;0;4098;367;2;129;299;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;03:00;46518;47100;46700;204;40;2586;38825;8137;0;4382;-3026;691;-5321;32;388;2655;-3171;-3700;-2228;2;22;180;0;2073;514;0;4037;344;1;133;301;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;03:15;45986;46550;46200;204;40;2612;38683;8256;0;4227;-3010;692;-5718;32;;;;;;2;22;180;0;2075;539;0;3885;341;1;133;302;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;03:30;45499;46000;45700;204;40;2609;38625;8436;0;4241;-3233;688;-6111;32;388;2655;-3171;-3700;-2229;2;22;180;0;2074;536;0;3858;378;5;132;299;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;03:45;44910;45500;45200;204;42;2529;38344;8637;0;4169;-3314;689;-6390;32;;;;;;2;22;180;0;2077;454;0;3793;376;0;132;300;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;04:00;44486;45000;44700;203;41;2491;38096;8704;0;4134;-3342;690;-6531;31;618;2988;-3171;-3700;-3400;1;22;180;0;2074;418;0;3768;366;0;131;299;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;04:15;44350;44750;44500;203;41;2478;37889;8780;0;4110;-3303;692;-6540;31;;;;;;1;22;180;0;2075;405;0;3714;396;0;134;303;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;04:30;44080;44500;44300;204;41;2461;37690;8829;0;4130;-3300;688;-6663;31;618;2988;-3171;-3700;-3401;2;22;180;0;2075;388;0;3738;392;0;134;298;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;04:45;43837;44350;44050;204;42;2477;37454;8957;0;4139;-3320;687;-6803;32;;;;;;2;22;180;0;2079;400;0;3742;397;0;130;301;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;05:00;43929;44200;43800;204;42;2467;37279;9046;0;4149;-3320;694;-6632;32;784;3052;-3171;-3567;-3004;2;22;180;0;2075;393;0;3739;410;0;134;301;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;05:15;44684;44650;43950;203;42;2473;37108;9299;0;4105;-3309;696;-5933;32;;;;;;1;22;180;0;2076;398;0;3745;360;0;136;301;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;05:30;44453;45100;44100;204;42;2474;36840;9439;0;4091;-3301;691;-6027;32;784;3052;-3171;-3567;-3004;2;22;180;0;2076;399;0;3702;389;0;132;303;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;05:45;44871;45300;44750;204;43;2481;37215;9448;0;4219;-3249;695;-6185;31;;;;;;2;22;180;0;2078;404;0;3780;439;0;132;302;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;06:00;45159;45500;45400;204;43;2475;37014;9526;0;4110;-3261;685;-5637;31;1550;2642;-3171;-3300;-2748;2;22;180;0;2078;398;0;3739;371;0;133;300;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;06:15;45951;46000;45800;203;43;2509;37020;9611;0;4130;-3201;687;-5051;32;;;;;;1;22;180;0;2079;431;0;3792;338;0;133;300;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;06:30;46028;46500;46200;204;43;2500;37131;9828;0;4185;-3191;690;-5362;31;1550;2642;-3171;-3300;-2769;2;22;180;0;2078;424;0;3790;395;0;128;300;257;ND;ND;ND;ND;ND
France;Données temps réel;07/01/2023;06:45;46590;47150;46800;204;43;2520;37251;9940;0;4277;-3129;696;-5212;31;;;;;;2;22;180;0;2078;444;0;3801;476;0;134;299;257;ND;ND;ND;ND;ND
